AHiri                , S R1 S G3 M1 P D1 N2 S  , S N2 D1 P M1 G3 R1 S
asAvEri              , S R1 M1 P D1 S          , S N2 S P D1 M1 P R1 G2 R1 S
bhUpALam             , S R1 G2 P D1 S          , S D1 P G2 R1 S
dhanyAsi             , S G2 M1 P N2 S          , S N2 D1 P M1 G2 R1 S
punnAgavarALi        , N2 S R1 G2 M1 P D1 N2   , N2 D1 P M1 G2 R1 S N2 ,
sindhu bhairavi      , S R2 G2 M1 G2 P D1 N2 S , N2 D1 P M1 G2 R1 S N2 S
kalagada             , S R1 G3 P D1 N1 S       , S N1 D1 P G3 R1 S
vasanthabhairavi     , S R1 G3 M1 D1 N2 S      , S N2 D1 M1 P M1 G3 R1 S
ardhradhesi          , S R1 G3 M1 P D1 S N3 S  , S D1 P M1 G3 R1 S
bowLi                , S R1 G3 P D1 S          , S N3 D1 P G3 R1 S
gowLa                , S R1 M1 P N3 S          , S N3 P M1 R1 G3 M1 R1 S
gowLipanthu          , S R1 M1 P N3 S          , S N3 D1 P M1 D1 M1 G3 R1 S
gowri                , S R1 M1 P N3 S          , S N3 D1 P M1 G3 R1 S
gujjari              , S R1 G3 M1 P D1 N3 S    , S D1 N3 P M1 G3 R1 S
gumma kAmbhoji       , S R1 G3 P D1 N3 D1 S    , S N3 D1 P M1 G3 R1 S
gundhakriya          , S R1 M1 P N3 S          , S N3 P D1 P M1 G3 R1 S
jaganmOhini          , S G3 M1 P N3 S          , S N3 P M1 G3 R1 S
kannadaban'gALa      , S R1 M1 G3 M1 P D1 S    , S D1 P M1 G3 R1 S
kRushNaveNi          , S R1 G3 M1 P N3 S       , S N3 P M1 G3 R1 S
lalithA              , S R1 G3 M1 D2 N3 S      , S N3 D2 M1 G3 R1 S
malaHari             , S R1 M1 P D1 S          , S D1 P M1 G3 R1 S
mallikA vasantham    , S G3 M1 P N3 S          , S N3 D1 P M1 G3 R1 S
mangaLakaishiki      , S M1 G3 M1 P M1 D1 N3 S , S N3 D1 P M1 G3 R1 S
mEchabowLi           , S R1 G3 P D1 S          , S D1 P M1 G3 R1 S
mEGaranjani          , S R1 G3 M1 N3 S         , S N3 M1 G3 R1 S
nAdhanAmakriya       , S R1 G3 M1 P D1 N3      , N3 D1 P M1 G3 R1 S N3
pAdi                 , S R1 M1 P N3 S          , S N3 P D1 P M1 R1 S
pharaz               , S G3 M1 P D1 N3 S       , S N3 D1 P M1 G3 R1 S
pUrvi                , S R1 G3 M1 P D1 N3 D1 S , S N3 D1 P M1 D1 M1 G3 R1 S
rEvagupthi           , S R1 G3 P D1 S          , S D1 P G3 R1 S
sAran'ganAtha        , S R1 M1 P D1 S          , S N3 S D1 P M1 G3 R1 S
sAvEri               , S R1 M1 P D1 S          , S N3 D1 P M1 G3 R1 S
sindhu rAmakriya     , S G3 M1 P D1 N3 S       , S N3 P D1 P M1 G3 S
thakka  (a)          , S R1 S M1 G3 M1 D1 N3 S , S N3 P M1 G 3 M1 P R1 G3 S
thakka  (b)          , S G3 M1 P M1 D1 N3 S    , S N3 D1 P M1 G3 R1 S
bindhumAlini         , S G3 R1 G3 M1 P N2 S    , S N2 S D2 P G3 R1 S
kalAvathi            , S R1 M1 P D2 S          , S D2 P M1 G3 S R1 S
malayamArutham       , S R1 G3 P D2 N2 S       , S N2 D2 P G3 R1 S
valachi              , S G3 P D2 N2 S          , S N2 D2 P G3 S
vegavAHini           , S R1 G3 M1 P D2 N2 D2 S , S N2 D2 P M1 G3 R1 S
bhairavam            , S R1 G3 M1 P D2 N3 S    , S D2 P M1 G3 R1 S
sowrAshtram          , S R1 G3 M1 P M1 D2 N3 S , S N3 D2 N2 D2 P M1 G3 R1 S
supradhIpam          , S R1 M1 P D2 S          , S N3 D2 P M1 G3 M1 R1 S
vasanthA             , S M1 G3 M1 D2 N3 S      , S N3 D2 M1 G3 R1 S
pUrnalalitha         , S G2 R2 M1 P S          , S N1 D1 P M1 G2 R2 S
amrithavAHini        , S R2 M1 P D1 N2 S       , S N2 D1 M1 G2 R2 S
Anandhabhairavi      , S G2 R2 G2 M1 P D2 P N2 S        , S N2 D2 P M1 G2 R2 S
bhairavi             , S R2 G2 M1 P D2 N2 S    , S N2 D1 P M1 G2 R2 S
Gantha               , S G2 R2 G2 M1 P D2 P N2 D2 N2 S    , S N2 D2 P M1 G2 R2 S
gopikavasantham      , S M1 P N2 D1 N2 D1 S    , S N2 D1 P M1 G2 S
HindhoLam            , S G2 M1 D1 N2 S         , S N2 D1 M1 G2 S
jayanthashrI         , S G2 M1 D1 N2 S         , S N2 D1 M1 P M1 G2 S
jingla               , S R2 G2 M1 P D1 N2 D1 P S        , S N2 D1 P M1 G2 R2 S
mAnji                , S R2 G2 M1 P D2 N2 S    , S N2 D1 P M1 G2 R2 S
mArgaHindhoLam       , S R2 G2 M1 P D2 N2 S    , S N2 D2 M1 G2 S
pUrNashajja          , S R2 G2 M1 N2 N2 S      , S N2 P M1 G2 R2 S
sAramathi            , S R2 G2 M1 P D1 N2 S    , S N2 D1 M1 G2 S
sudhdha dhanyAsi     , S G2 M1 P N2 S          , S N2 P M1 G2 S
sudhdha dhesi        , S R2 M1 P D1 N2 S       , S N2 D1 P M1 G2 R2 S
kiraNAvaLi           , S R2 G2 M1 P D1 N3 S    , S P M1 G2 R2 S
kalyANa vasantham    , S G2 M1 D1 N3 S         , S N3 D1 P M1 G2 R2 S
AbhEri               , S G2 M1 P N2 S          , S N2 D2 P M1 G2 R2 S
abhOgi               , S R2 G2 M1 D2 S         , S D2 M1 G2 R2 S
AndhOLika            , S R2 M1 P N2 S          , S N2 D2 M1 R2 S
bAgEshrI             , S G2 M1 D2 N2 S         , S N2 D2 M1 P D2 G2 M1 R2 S
