Abhogi,D2 S M1 G1 R2
Adana, S R2	G1 M1 P D1 N1
Ahir Bhairav,S R1 G2 M1 P D2 N1
AlhaiyaBilawal,G2 R2 P S M1 N1 N2 D2
Asavari, S R2 G1 M1 P D1 N1
Bageshri,R2 G1 P S M1 N1 D2
Bahar,S G1 M1 P N1 D2 N2 R2
Bairagi,P S M1 R1 N1
Basant,G2 P S M1 N2 D1 R1
Bhairav,R1 P S M1 N2 D1 D2 G2
Bhairavi,G2 P S M1 M2 N2 D2 R1
Bhimpalasi,R2 G1 P S M1 N1 D2
Bhupal todi,S R1 G1 P D1
Bhupali,P S D2 G2 R2
Bibhas, S R1 G2 P D1
Bihag,G2 R2 P S M1 M2 N2 D2
Bilaskhani Todi,R1 G1 P S M1 N1 D1
ChampAkali,G2 R2 P S M2 N1 D2
Chandrakauns,S M1 N2 G1 D1
Chayanat,S R2 G2 M1 P D2 N2
Darbari Kanada,R2 G1 P S M1 N1 D1
Desh,G2 R2 P S M1 N1 N2 D2
Dhani,S G1 M1 P N1
Deshi,
Durga,P S M1 D2 R2
Gaud malhar, S R2 M1 P D2 N2 N1 G2
Gorakh kalyan, S R2 M1 P D2 N1
GujariTodi,R1 G1 S M2 N2 D1
Gunakri,S R1 M1 P D1
Gunakali,S R1 M1 P D1
Hamir,G2 R2 P S M1 M2 N2 D2
Hansadhvani,S R2 G2 P N2
Hindol, S G2 M2 D2 N2
Jaijaiwanti,R2 G1 P S M1 N1 N2 D2 G2
Jaunpuri,G1 R2 P S M1 N1 D1
Jhinjhoti,G2 R2 P S M1 N1 D2
Jog,S G1 G2 M1 P N1
Jogiya,S R1 M1 P D1 N2
Kafi,R2 G1 P S M1 N1 D2
Kafi Kanada,R2 G1 P S M1 M2 N1 D2
Kalavati/Kalavati Kalyan,P S D2 G2 N1
Kaligra,R1 P S M1 N2 G2 D1
Kalyan/Yaman/Iman/Eman,G2 R2 P S M2 N2 D2
Kambhoji/Kambodhi,G2 R2 P S M1 N2 D2
Kamod,G2 R2 P S M2 N2 D2
Kanada Bahar,R2 G1 P S M1 M2 N1 N2 D2
Kanada Malhaar,R2 G1 P S M1 N1 N2 D2 D1
Kaushi Bhairav,G2 R2 R1 P S M1 N1 N2 D2 D1
